Job Name,Severity,File Name,Line,Message,Remarks
gitleaks,ERROR,frontend/public/aws-exports.json,5,generic-api-key : fingerprint 444e7ac1d89f7c47d1741c535c3d1aa0618f0427:frontend/public/aws-exports.json:generic-api-key:5,"Not a generic api key, it is a sample cognito app client id"
gitleaks,ERROR,backend/.env,4,generic-api-key : fingerprint d3962e64e46888df1ffd946beffe4de785a1a51f:backend/.env:generic-api-key:4,"Not a generic api key, it is a sample cognito app client id"
checkov,WARNING,/backend/Dockerfile,1,CKV_DOCKER_2: Ensure that HEALTHCHECK instructions have been added to container images,
checkov,WARNING,/backend/Dockerfile,1,CKV_DOCKER_3: Ensure that a user for the container has been created,
bandit,WARNING,backend/utils.py,50,B113: Requests call without timeout,
bandit,WARNING,backend/main.py,171,B102: Use of exec detected.,
bandit,WARNING,backend/main.py,475,B104: Possible binding to all interfaces.,
grype,WARNING,Dependency: webpack-dev-server Version: 4.15.2 (npm),0,"GHSA-9jgg-88mc-972h - webpack-dev-server users' source code may be stolen when they access a malicious web site with non-Chromium based browser
More information is available from these links:
https://github.com/advisories/GHSA-9jgg-88mc-972h",
grype,WARNING,Dependency: webpack-dev-server Version: 4.15.2 (npm),0,"GHSA-4v9v-hfq4-rm2v - webpack-dev-server users' source code may be stolen when they access a malicious web site
More information is available from these links:
https://github.com/advisories/GHSA-4v9v-hfq4-rm2v",
grype,ERROR,Dependency: jsonpath Version: 1.2.1 (npm),0,"GHSA-87r5-mp6g-5w5j - jsonpath has Arbitrary Code Injection via Unsafe Evaluation of JSON Path Expressions
More information is available from these links:
https://github.com/advisories/GHSA-87r5-mp6g-5w5j","Indirect dependecies, changing these will break the direct dependencies"
grype,ERROR,Dependency: nth-check Version: 1.0.2 (npm),0,"GHSA-rp65-9cf3-cjxr - Inefficient Regular Expression Complexity in nth-check
More information is available from these links:
https://github.com/advisories/GHSA-rp65-9cf3-cjxr","Indirect dependecies, changing these will break the direct dependencies"
grype,ERROR,Dependency: underscore Version: 1.13.6 (npm),0,"GHSA-qpx9-hpmf-5gmw - Underscore has unlimited recursion in _.flatten and _.isEqual, potential for DoS attack
More information is available from these links:
https://github.com/advisories/GHSA-qpx9-hpmf-5gmw","Indirect dependecies, changing these will break the direct dependencies"
grype,ERROR,Dependency: serialize-javascript Version: 4.0.0 (npm),0,"GHSA-5c6j-r48x-rmvq - Serialize JavaScript is Vulnerable to RCE via RegExp.flags and Date.prototype.toISOString()
More information is available from these links:
https://github.com/advisories/GHSA-5c6j-r48x-rmvq","Indirect dependecies, changing these will break the direct dependencies"
grype,ERROR,Dependency: serialize-javascript Version: 6.0.2 (npm),0,"GHSA-5c6j-r48x-rmvq - Serialize JavaScript is Vulnerable to RCE via RegExp.flags and Date.prototype.toISOString()
More information is available from these links:
https://github.com/advisories/GHSA-5c6j-r48x-rmvq","Indirect dependecies, changing these will break the direct dependencies"
grype,ERROR,Dependency: cryptography Version: 46.0.3 (python),0,"GHSA-r6ph-v2qm-q3c2 - cryptography Vulnerable to a Subgroup Attack Due to Missing Subgroup Validation for SECT Curves
More information is available from these links:
https://github.com/advisories/GHSA-r6ph-v2qm-q3c2","Indirect dependecies, changing these will break the direct dependencies"
grype,WARNING,Dependency: requests Version: 2.32.3 (python),0,"GHSA-9hjg-9r4m-mvj7 - Requests vulnerable to .netrc credentials leak via malicious URLs
More information is available from these links:
https://github.com/advisories/GHSA-9hjg-9r4m-mvj7",
grype,INFO,Dependency: @tootallnate/once Version: 1.1.2 (npm),0,"GHSA-vpq2-c234-7xj6 - @tootallnate/once vulnerable to Incorrect Control Flow Scoping
More information is available from these links:
https://github.com/advisories/GHSA-vpq2-c234-7xj6",
grype,WARNING,Dependency: postcss Version: 7.0.39 (npm),0,"GHSA-7fh5-64p2-3v2j - PostCSS line return parsing error
More information is available from these links:
https://github.com/advisories/GHSA-7fh5-64p2-3v2j",
